balls,0,1,2,3,4,5,6,7,8,9
120,100,96.8,92.6,86.7,78.8,68.2,54.4,37.5,21.3,8.3
114,96.1,93.3,89.2,83.9,76.7,66.6,53.5,37.3,21,8.3
108,92.2,89.6,85.9,81.1,74.2,65,52.7,36.9,21,8.3
102,88.2,85.7,82.5,77.9,71.7,63.3,51.6,36.6,21,8.3
96,84.1,81.8,79,74.7,69.1,61.3,50.4,36.2,20.8,8.3
90,79.9,77.9,75.3,71.6,66.4,59.2,49.1,35.7,20.8,8.3
84,75.4,73.7,71.4,68,63.4,56.9,47.7,35.2,20.8,8.3
78,71,69.4,67.3,64.5,60.4,54.4,46.1,34.5,20.7,8.3
72,66.4,65,63.3,60.6,57.1,51.9,44.3,33.6,20.5,8.3
66,61.7,60.4,59,56.7,53.7,49.1,42.4,32.7,20.3,8.3
60,56.7,55.8,54.4,52.7,50,46.1,40.3,31.6,20.1,8.3
54,51.8,51.1,49.8,48.4,46.1,42.8,37.8,30.2,19.8,8.3
48,46.6,45.9,45.1,43.8,42,39.4,35.2,28.6,19.3,8.3
42,41.3,40.8,40.1,39.2,37.8,35.5,32.2,26.9,18.6,8.3
36,35.9,35.5,35,34.3,33.2,31.4,29,24.6,17.8,8.1
30,30.4,30,29.7,29.2,28.4,27.2,25.3,22.1,16.6,8.1
24,24.6,24.4,24.2,23.9,23.3,22.4,21.2,18.9,14.8,8
18,18.7,18.6,18.4,18.2,18,17.5,16.8,15.4,12.7,7.4
12,12.7,12.5,12.5,12.4,12.4,12,11.7,11,9.7,6.5
6,6.4,6.4,6.4,6.4,6.4,6.2,6.2,6,5.7,4.4
0,0,0,0,0,0,0,0,0,0,0
